敵種類,移動パターン,攻撃パターン,出現時間,行動時間,発射,帰還,X座標,Y座標,スピード,HP
1,4,1,50,500,600,0,-450,250,3,2
1,4,0,50,500,0,0,-475,300,3,2
1,4,0,50,500,0,0,-500,350,3,2
1,5,1,50,500,600,0,450,250,3,2
1,5,0,50,500,0,0,475,300,3,2
1,5,0,50,500,0,0,500,350,3,2
PHASE_END,300
0,0,1,50,110,120,200,283,-50,3,1
1,0,0,80,140,0,350,357,-50,3,1
1,0,0,200,280,0,480,-80,-50,3,1
0,0,1,130,190,230,310,-222,-50,3,1
1,0,0,400,340,0,490,103,-50,3,1
0,0,1,340,460,490,570,-167,-50,3,1
1,0,0,280,380,0,430,23,-50,3,1
PHASE_END,600
3,0,2,50,250,300,500,0,-100,2,3
2,0,0,50,250,0,500,0,-50,2,5
2,0,0,50,250,0,500,50,-100,2,5
2,0,0,50,250,0,500,-50,-100,2,5
PHASE_END,500
1,6,1,50,150,200,300,-550,250,3,1
1,6,1,50,150,200,350,-500,300,3,1
1,6,1,50,150,200,400,-450,350,3,1
1,7,1,50,150,200,300,550,250,3,1
1,7,1,50,150,200,350,500,300,3,1
1,7,1,50,150,200,400,450,350,3,1
PHASE_END,600
0,1,1,50,100,100,0,0,-50,3,2
0,1,1,50,100,100,0,50,-50,3,2
0,1,1,50,100,100,0,100,-50,3,2
0,1,1,50,100,100,0,-50,-50,3,2
0,1,1,50,100,100,0,-100,-50,3,2
PHASE_END,300
0,2,1,50,100,100,0,-350,-150,3,2
1,2,0,100,150,0,0,-350,-150,3,2
0,2,1,150,200,200,0,-350,-150,3,2
1,2,0,200,250,0,0,-350,-150,3,2
0,2,1,250,300,300,0,-350,-150,3,2
1,2,0,300,350,0,0,-350,-150,3,2
PHASE_END,300
0,3,1,50,100,100,0,350,-150,3,2
1,3,0,100,150,0,0,350,-150,3,2
0,3,1,150,200,200,0,350,-150,3,2
1,3,0,200,250,0,0,350,-150,3,2
0,3,1,250,300,300,0,350,-150,3,2
1,3,0,300,350,0,0,350,-150,3,2
PHASE_END,300
